unit_candidate_id	product_title	artist_name	artist_entity_type	candidate_title	existing_recording_id	existing_song_id	review_reason	recovery_status
UNIT0113-01-001	USB - Colección Música Colombiana	Varios Intérpretes	performer	Yo Tambien TuveVeinteAños			artist_not_matched_to_authority	entity_needed
UNIT0113-01-002	USB - Colección Música Colombiana	Varios Intérpretes	performer	Las Acacias	REC005601	SONG004252	recording_title_exists;song_title_exists;artist_not_matched_to_authority	entity_needed
UNIT0113-01-003	USB - Colección Música Colombiana	Varios Intérpretes	performer	Ayer Me Echaron Del Pueblo	REC005602	SONG004253	recording_title_exists;song_title_exists;artist_not_matched_to_authority	entity_needed
UNIT0113-01-004	USB - Colección Música Colombiana	Varios Intérpretes	performer	Un Recuerdo De Amor	REC005603	SONG004254	recording_title_exists;song_title_exists;artist_not_matched_to_authority	entity_needed
UNIT0113-01-005	USB - Colección Música Colombiana	Varios Intérpretes	performer	Grato Silencio	REC005604	SONG004255	recording_title_exists;song_title_exists;artist_not_matched_to_authority	entity_needed
UNIT0113-01-006	USB - Colección Música Colombiana	Varios Intérpretes	performer	Pesares	REC005605	SONG004256	recording_title_exists;song_title_exists;artist_not_matched_to_authority	entity_needed
UNIT0113-01-007	USB - Colección Música Colombiana	Varios Intérpretes	performer	Antioqueñita	REC005606	SONG004257	recording_title_exists;song_title_exists;artist_not_matched_to_authority	entity_needed
UNIT0113-01-008	USB - Colección Música Colombiana	Varios Intérpretes	performer	Tierra Labrantia	REC005607	SONG004258	recording_title_exists;song_title_exists;artist_not_matched_to_authority	entity_needed
UNIT0113-01-009	USB - Colección Música Colombiana	Varios Intérpretes	performer	Las Mirlas	REC005608	SONG004259	recording_title_exists;song_title_exists;artist_not_matched_to_authority	entity_needed
UNIT0113-01-010	USB - Colección Música Colombiana	Varios Intérpretes	performer	Huri	REC005591;REC005609	SONG004245	recording_title_exists;song_title_exists;artist_not_matched_to_authority	entity_needed
UNIT0113-02-001	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	María de los Guardias	REC005610	SONG004260	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-02-002	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Señor	REC005611	SONG004261	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-02-003	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	No Te Pido Más	REC005612	SONG004262	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-02-004	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Castiga Tirano	REC005613	SONG004263	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-02-005	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Señora	REC004666;REC005614	SONG003498	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-02-006	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Mal Hombre	REC003167;REC005615	SONG002330	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-02-007	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Propiedad Privada	REC005616	SONG004264	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-02-008	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	La Hija del Penal	REC005617	SONG004265	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-02-009	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Me la Robaste	REC005618	SONG004266	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-02-010	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Nos Estorbó la Ropa	REC005619	SONG004267	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-04-001	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	El Carretero – Guillermo Portabales			source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-04-002	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Malao de Caña – La Sonora Matancera			source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-04-003	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	El Que Siembra Su Maíz – Orquesta de Bebo Valdés			source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
UNIT0113-04-004	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	A San Lázaro (Babalú) – Celina y Reutilio			source_tracklist_partial_or_estimated;artist_not_matched_to_authority	entity_needed
